geometry
"POLYGON ((-746538.7938764709 -1058799.9573, -747537.9083088238 -1058799.9573, -747537.9083088238 -1057812.7605919999, -746538.7938764709 -1057812.7605919999, -746538.7938764709 -1058799.9573))"
"POLYGON ((-747537.9083088238 -1058799.9573, -748537.0227411769 -1058799.9573, -748537.0227411769 -1057812.7605919999, -747537.9083088238 -1057812.7605919999, -747537.9083088238 -1058799.9573))"
"POLYGON ((-751534.3660382358 -1056825.5638839998, -750535.2516058828 -1056825.5638839998, -750535.2516058828 -1057812.7605919999, -751534.3660382358 -1057812.7605919999, -751534.3660382358 -1056825.5638839998))"
"POLYGON ((-750535.2516058828 -1056825.5638839998, -749536.1371735298 -1056825.5638839998, -749536.1371735298 -1057812.7605919999, -750535.2516058828 -1057812.7605919999, -750535.2516058828 -1056825.5638839998))"
"POLYGON ((-749536.1371735298 -1056825.5638839998, -748537.0227411769 -1056825.5638839998, -748537.0227411769 -1057812.7605919999, -749536.1371735298 -1057812.7605919999, -749536.1371735298 -1056825.5638839998))"
"POLYGON ((-748537.0227411769 -1056825.5638839998, -747537.9083088238 -1056825.5638839998, -747537.9083088238 -1057812.7605919999, -748537.0227411769 -1057812.7605919999, -748537.0227411769 -1056825.5638839998))"
"POLYGON ((-747537.9083088238 -1056825.5638839998, -746538.7938764709 -1056825.5638839998, -746538.7938764709 -1057812.7605919999, -747537.9083088238 -1057812.7605919999, -747537.9083088238 -1056825.5638839998))"
"POLYGON ((-752533.4804705888 -1055838.3671759998, -751534.3660382358 -1055838.3671759998, -751534.3660382358 -1056825.5638839998, -752533.4804705888 -1056825.5638839998, -752533.4804705888 -1055838.3671759998))"
"POLYGON ((-751534.3660382358 -1055838.3671759998, -750535.2516058828 -1055838.3671759998, -750535.2516058828 -1056825.5638839998, -751534.3660382358 -1056825.5638839998, -751534.3660382358 -1055838.3671759998))"
"POLYGON ((-750535.2516058828 -1055838.3671759998, -749536.1371735298 -1055838.3671759998, -749536.1371735298 -1056825.5638839998, -750535.2516058828 -1056825.5638839998, -750535.2516058828 -1055838.3671759998))"
"POLYGON ((-749536.1371735298 -1055838.3671759998, -748537.0227411769 -1055838.3671759998, -748537.0227411769 -1056825.5638839998, -749536.1371735298 -1056825.5638839998, -749536.1371735298 -1055838.3671759998))"
"POLYGON ((-748537.0227411769 -1055838.3671759998, -747537.9083088238 -1055838.3671759998, -747537.9083088238 -1056825.5638839998, -748537.0227411769 -1056825.5638839998, -748537.0227411769 -1055838.3671759998))"
"POLYGON ((-747537.9083088238 -1055838.3671759998, -746538.7938764709 -1055838.3671759998, -746538.7938764709 -1056825.5638839998, -747537.9083088238 -1056825.5638839998, -747537.9083088238 -1055838.3671759998))"
"POLYGON ((-746538.7938764709 -1055838.3671759998, -745539.6794441179 -1055838.3671759998, -745539.6794441179 -1056825.5638839998, -746538.7938764709 -1056825.5638839998, -746538.7938764709 -1055838.3671759998))"
"POLYGON ((-745539.6794441179 -1055838.3671759998, -744540.5650117649 -1055838.3671759998, -744540.5650117649 -1056825.5638839998, -745539.6794441179 -1056825.5638839998, -745539.6794441179 -1055838.3671759998))"
"POLYGON ((-744540.5650117649 -1055838.3671759998, -743541.4505794119 -1055838.3671759998, -743541.4505794119 -1056825.5638839998, -744540.5650117649 -1056825.5638839998, -744540.5650117649 -1055838.3671759998))"
"POLYGON ((-743541.4505794119 -1055838.3671759998, -742542.336147059 -1055838.3671759998, -742542.336147059 -1056825.5638839998, -743541.4505794119 -1056825.5638839998, -743541.4505794119 -1055838.3671759998))"
"POLYGON ((-742542.336147059 -1055838.3671759998, -741543.221714706 -1055838.3671759998, -741543.221714706 -1056825.5638839998, -742542.336147059 -1056825.5638839998, -742542.336147059 -1055838.3671759998))"
"POLYGON ((-741543.221714706 -1055838.3671759998, -740544.107282353 -1055838.3671759998, -740544.107282353 -1056825.5638839998, -741543.221714706 -1056825.5638839998, -741543.221714706 -1055838.3671759998))"
"POLYGON ((-751534.3660382358 -1054851.1704679998, -750535.2516058828 -1054851.1704679998, -750535.2516058828 -1055838.3671759998, -751534.3660382358 -1055838.3671759998, -751534.3660382358 -1054851.1704679998))"
"POLYGON ((-750535.2516058828 -1054851.1704679998, -749536.1371735298 -1054851.1704679998, -749536.1371735298 -1055838.3671759998, -750535.2516058828 -1055838.3671759998, -750535.2516058828 -1054851.1704679998))"
"POLYGON ((-749536.1371735298 -1054851.1704679998, -748537.0227411769 -1054851.1704679998, -748537.0227411769 -1055838.3671759998, -749536.1371735298 -1055838.3671759998, -749536.1371735298 -1054851.1704679998))"
"POLYGON ((-748537.0227411769 -1054851.1704679998, -747537.9083088238 -1054851.1704679998, -747537.9083088238 -1055838.3671759998, -748537.0227411769 -1055838.3671759998, -748537.0227411769 -1054851.1704679998))"
"POLYGON ((-747537.9083088238 -1054851.1704679998, -746538.7938764709 -1054851.1704679998, -746538.7938764709 -1055838.3671759998, -747537.9083088238 -1055838.3671759998, -747537.9083088238 -1054851.1704679998))"
"POLYGON ((-746538.7938764709 -1054851.1704679998, -745539.6794441179 -1054851.1704679998, -745539.6794441179 -1055838.3671759998, -746538.7938764709 -1055838.3671759998, -746538.7938764709 -1054851.1704679998))"
"POLYGON ((-745539.6794441179 -1054851.1704679998, -744540.5650117649 -1054851.1704679998, -744540.5650117649 -1055838.3671759998, -745539.6794441179 -1055838.3671759998, -745539.6794441179 -1054851.1704679998))"
"POLYGON ((-744540.5650117649 -1054851.1704679998, -743541.4505794119 -1054851.1704679998, -743541.4505794119 -1055838.3671759998, -744540.5650117649 -1055838.3671759998, -744540.5650117649 -1054851.1704679998))"
"POLYGON ((-743541.4505794119 -1054851.1704679998, -742542.336147059 -1054851.1704679998, -742542.336147059 -1055838.3671759998, -743541.4505794119 -1055838.3671759998, -743541.4505794119 -1054851.1704679998))"
"POLYGON ((-742542.336147059 -1054851.1704679998, -741543.221714706 -1054851.1704679998, -741543.221714706 -1055838.3671759998, -742542.336147059 -1055838.3671759998, -742542.336147059 -1054851.1704679998))"
"POLYGON ((-741543.221714706 -1054851.1704679998, -740544.107282353 -1054851.1704679998, -740544.107282353 -1055838.3671759998, -741543.221714706 -1055838.3671759998, -741543.221714706 -1054851.1704679998))"
"POLYGON ((-740544.107282353 -1054851.1704679998, -739544.99285 -1054851.1704679998, -739544.99285 -1055838.3671759998, -740544.107282353 -1055838.3671759998, -740544.107282353 -1054851.1704679998))"
"POLYGON ((-730552.9629588232 -1054851.1704679998, -729553.8485264702 -1054851.1704679998, -729553.8485264702 -1055838.3671759998, -730552.9629588232 -1055838.3671759998, -730552.9629588232 -1054851.1704679998))"
"POLYGON ((-729553.8485264702 -1054851.1704679998, -728554.7340941173 -1054851.1704679998, -728554.7340941173 -1055838.3671759998, -729553.8485264702 -1055838.3671759998, -729553.8485264702 -1054851.1704679998))"
"POLYGON ((-728554.7340941173 -1054851.1704679998, -727555.6196617642 -1054851.1704679998, -727555.6196617642 -1055838.3671759998, -728554.7340941173 -1055838.3671759998, -728554.7340941173 -1054851.1704679998))"
"POLYGON ((-751534.3660382358 -1053863.97376, -750535.2516058828 -1053863.97376, -750535.2516058828 -1054851.1704679998, -751534.3660382358 -1054851.1704679998, -751534.3660382358 -1053863.97376))"
"POLYGON ((-750535.2516058828 -1053863.97376, -749536.1371735298 -1053863.97376, -749536.1371735298 -1054851.1704679998, -750535.2516058828 -1054851.1704679998, -750535.2516058828 -1053863.97376))"
"POLYGON ((-749536.1371735298 -1053863.97376, -748537.0227411769 -1053863.97376, -748537.0227411769 -1054851.1704679998, -749536.1371735298 -1054851.1704679998, -749536.1371735298 -1053863.97376))"
"POLYGON ((-748537.0227411769 -1053863.97376, -747537.9083088238 -1053863.97376, -747537.9083088238 -1054851.1704679998, -748537.0227411769 -1054851.1704679998, -748537.0227411769 -1053863.97376))"
"POLYGON ((-747537.9083088238 -1053863.97376, -746538.7938764709 -1053863.97376, -746538.7938764709 -1054851.1704679998, -747537.9083088238 -1054851.1704679998, -747537.9083088238 -1053863.97376))"
"POLYGON ((-746538.7938764709 -1053863.97376, -745539.6794441179 -1053863.97376, -745539.6794441179 -1054851.1704679998, -746538.7938764709 -1054851.1704679998, -746538.7938764709 -1053863.97376))"
"POLYGON ((-745539.6794441179 -1053863.97376, -744540.5650117649 -1053863.97376, -744540.5650117649 -1054851.1704679998, -745539.6794441179 -1054851.1704679998, -745539.6794441179 -1053863.97376))"
"POLYGON ((-744540.5650117649 -1053863.97376, -743541.4505794119 -1053863.97376, -743541.4505794119 -1054851.1704679998, -744540.5650117649 -1054851.1704679998, -744540.5650117649 -1053863.97376))"
"POLYGON ((-743541.4505794119 -1053863.97376, -742542.336147059 -1053863.97376, -742542.336147059 -1054851.1704679998, -743541.4505794119 -1054851.1704679998, -743541.4505794119 -1053863.97376))"
"POLYGON ((-742542.336147059 -1053863.97376, -741543.221714706 -1053863.97376, -741543.221714706 -1054851.1704679998, -742542.336147059 -1054851.1704679998, -742542.336147059 -1053863.97376))"
"POLYGON ((-741543.221714706 -1053863.97376, -740544.107282353 -1053863.97376, -740544.107282353 -1054851.1704679998, -741543.221714706 -1054851.1704679998, -741543.221714706 -1053863.97376))"
"POLYGON ((-740544.107282353 -1053863.97376, -739544.99285 -1053863.97376, -739544.99285 -1054851.1704679998, -740544.107282353 -1054851.1704679998, -740544.107282353 -1053863.97376))"
"POLYGON ((-739544.99285 -1053863.97376, -738545.8784176471 -1053863.97376, -738545.8784176471 -1054851.1704679998, -739544.99285 -1054851.1704679998, -739544.99285 -1053863.97376))"
"POLYGON ((-738545.8784176471 -1053863.97376, -737546.763985294 -1053863.97376, -737546.763985294 -1054851.1704679998, -738545.8784176471 -1054851.1704679998, -738545.8784176471 -1053863.97376))"
"POLYGON ((-737546.763985294 -1053863.97376, -736547.6495529411 -1053863.97376, -736547.6495529411 -1054851.1704679998, -737546.763985294 -1054851.1704679998, -737546.763985294 -1053863.97376))"
"POLYGON ((-731552.0773911763 -1053863.97376, -730552.9629588232 -1053863.97376, -730552.9629588232 -1054851.1704679998, -731552.0773911763 -1054851.1704679998, -731552.0773911763 -1053863.97376))"
"POLYGON ((-730552.9629588232 -1053863.97376, -729553.8485264702 -1053863.97376, -729553.8485264702 -1054851.1704679998, -730552.9629588232 -1054851.1704679998, -730552.9629588232 -1053863.97376))"
"POLYGON ((-729553.8485264702 -1053863.97376, -728554.7340941173 -1053863.97376, -728554.7340941173 -1054851.1704679998, -729553.8485264702 -1054851.1704679998, -729553.8485264702 -1053863.97376))"
"POLYGON ((-728554.7340941173 -1053863.97376, -727555.6196617642 -1053863.97376, -727555.6196617642 -1054851.1704679998, -728554.7340941173 -1054851.1704679998, -728554.7340941173 -1053863.97376))"
"POLYGON ((-727555.6196617642 -1053863.97376, -726556.5052294113 -1053863.97376, -726556.5052294113 -1054851.1704679998, -727555.6196617642 -1054851.1704679998, -727555.6196617642 -1053863.97376))"
"POLYGON ((-750535.2516058828 -1052876.777052, -749536.1371735298 -1052876.777052, -749536.1371735298 -1053863.97376, -750535.2516058828 -1053863.97376, -750535.2516058828 -1052876.777052))"
"POLYGON ((-749536.1371735298 -1052876.777052, -748537.0227411769 -1052876.777052, -748537.0227411769 -1053863.97376, -749536.1371735298 -1053863.97376, -749536.1371735298 -1052876.777052))"
"POLYGON ((-748537.0227411769 -1052876.777052, -747537.9083088238 -1052876.777052, -747537.9083088238 -1053863.97376, -748537.0227411769 -1053863.97376, -748537.0227411769 -1052876.777052))"
"POLYGON ((-747537.9083088238 -1052876.777052, -746538.7938764709 -1052876.777052, -746538.7938764709 -1053863.97376, -747537.9083088238 -1053863.97376, -747537.9083088238 -1052876.777052))"
"POLYGON ((-746538.7938764709 -1052876.777052, -745539.6794441179 -1052876.777052, -745539.6794441179 -1053863.97376, -746538.7938764709 -1053863.97376, -746538.7938764709 -1052876.777052))"
"POLYGON ((-745539.6794441179 -1052876.777052, -744540.5650117649 -1052876.777052, -744540.5650117649 -1053863.97376, -745539.6794441179 -1053863.97376, -745539.6794441179 -1052876.777052))"
"POLYGON ((-744540.5650117649 -1052876.777052, -743541.4505794119 -1052876.777052, -743541.4505794119 -1053863.97376, -744540.5650117649 -1053863.97376, -744540.5650117649 -1052876.777052))"
"POLYGON ((-743541.4505794119 -1052876.777052, -742542.336147059 -1052876.777052, -742542.336147059 -1053863.97376, -743541.4505794119 -1053863.97376, -743541.4505794119 -1052876.777052))"
"POLYGON ((-742542.336147059 -1052876.777052, -741543.221714706 -1052876.777052, -741543.221714706 -1053863.97376, -742542.336147059 -1053863.97376, -742542.336147059 -1052876.777052))"
"POLYGON ((-741543.221714706 -1052876.777052, -740544.107282353 -1052876.777052, -740544.107282353 -1053863.97376, -741543.221714706 -1053863.97376, -741543.221714706 -1052876.777052))"
"POLYGON ((-740544.107282353 -1052876.777052, -739544.99285 -1052876.777052, -739544.99285 -1053863.97376, -740544.107282353 -1053863.97376, -740544.107282353 -1052876.777052))"
"POLYGON ((-739544.99285 -1052876.777052, -738545.8784176471 -1052876.777052, -738545.8784176471 -1053863.97376, -739544.99285 -1053863.97376, -739544.99285 -1052876.777052))"
"POLYGON ((-738545.8784176471 -1052876.777052, -737546.763985294 -1052876.777052, -737546.763985294 -1053863.97376, -738545.8784176471 -1053863.97376, -738545.8784176471 -1052876.777052))"
"POLYGON ((-737546.763985294 -1052876.777052, -736547.6495529411 -1052876.777052, -736547.6495529411 -1053863.97376, -737546.763985294 -1053863.97376, -737546.763985294 -1052876.777052))"
"POLYGON ((-736547.6495529411 -1052876.777052, -735548.5351205881 -1052876.777052, -735548.5351205881 -1053863.97376, -736547.6495529411 -1053863.97376, -736547.6495529411 -1052876.777052))"
"POLYGON ((-735548.5351205881 -1052876.777052, -734549.4206882352 -1052876.777052, -734549.4206882352 -1053863.97376, -735548.5351205881 -1053863.97376, -735548.5351205881 -1052876.777052))"
"POLYGON ((-734549.4206882352 -1052876.777052, -733550.3062558821 -1052876.777052, -733550.3062558821 -1053863.97376, -734549.4206882352 -1053863.97376, -734549.4206882352 -1052876.777052))"
"POLYGON ((-733550.3062558821 -1052876.777052, -732551.1918235292 -1052876.777052, -732551.1918235292 -1053863.97376, -733550.3062558821 -1053863.97376, -733550.3062558821 -1052876.777052))"
"POLYGON ((-732551.1918235292 -1052876.777052, -731552.0773911763 -1052876.777052, -731552.0773911763 -1053863.97376, -732551.1918235292 -1053863.97376, -732551.1918235292 -1052876.777052))"
"POLYGON ((-731552.0773911763 -1052876.777052, -730552.9629588232 -1052876.777052, -730552.9629588232 -1053863.97376, -731552.0773911763 -1053863.97376, -731552.0773911763 -1052876.777052))"
"POLYGON ((-730552.9629588232 -1052876.777052, -729553.8485264702 -1052876.777052, -729553.8485264702 -1053863.97376, -730552.9629588232 -1053863.97376, -730552.9629588232 -1052876.777052))"
"POLYGON ((-729553.8485264702 -1052876.777052, -728554.7340941173 -1052876.777052, -728554.7340941173 -1053863.97376, -729553.8485264702 -1053863.97376, -729553.8485264702 -1052876.777052))"
"POLYGON ((-728554.7340941173 -1052876.777052, -727555.6196617642 -1052876.777052, -727555.6196617642 -1053863.97376, -728554.7340941173 -1053863.97376, -728554.7340941173 -1052876.777052))"
