geometry
"POLYGON ((-746187.4291304341 -1058799.6000000015, -747663.5678260861 -1058799.6000000015, -747663.5678260861 -1057257.3287500015, -746187.4291304341 -1057257.3287500015, -746187.4291304341 -1058799.6000000015))"
"POLYGON ((-747663.5678260861 -1058799.6000000015, -749139.7065217382 -1058799.6000000015, -749139.7065217382 -1057257.3287500015, -747663.5678260861 -1057257.3287500015, -747663.5678260861 -1058799.6000000015))"
"POLYGON ((-749139.7065217382 -1058799.6000000015, -750615.8452173902 -1058799.6000000015, -750615.8452173902 -1057257.3287500015, -749139.7065217382 -1057257.3287500015, -749139.7065217382 -1058799.6000000015))"
"POLYGON ((-750615.8452173902 -1058799.6000000015, -752091.9839130423 -1058799.6000000015, -752091.9839130423 -1057257.3287500015, -750615.8452173902 -1057257.3287500015, -750615.8452173902 -1058799.6000000015))"
"POLYGON ((-752091.9839130423 -1055715.0575000015, -750615.8452173902 -1055715.0575000015, -750615.8452173902 -1057257.3287500015, -752091.9839130423 -1057257.3287500015, -752091.9839130423 -1055715.0575000015))"
"POLYGON ((-750615.8452173902 -1055715.0575000015, -749139.7065217382 -1055715.0575000015, -749139.7065217382 -1057257.3287500015, -750615.8452173902 -1057257.3287500015, -750615.8452173902 -1055715.0575000015))"
"POLYGON ((-749139.7065217382 -1055715.0575000015, -747663.5678260861 -1055715.0575000015, -747663.5678260861 -1057257.3287500015, -749139.7065217382 -1057257.3287500015, -749139.7065217382 -1055715.0575000015))"
"POLYGON ((-747663.5678260861 -1055715.0575000015, -746187.4291304341 -1055715.0575000015, -746187.4291304341 -1057257.3287500015, -747663.5678260861 -1057257.3287500015, -747663.5678260861 -1055715.0575000015))"
"POLYGON ((-746187.4291304341 -1055715.0575000015, -744711.2904347819 -1055715.0575000015, -744711.2904347819 -1057257.3287500015, -746187.4291304341 -1057257.3287500015, -746187.4291304341 -1055715.0575000015))"
"POLYGON ((-744711.2904347819 -1055715.0575000015, -743235.1517391299 -1055715.0575000015, -743235.1517391299 -1057257.3287500015, -744711.2904347819 -1057257.3287500015, -744711.2904347819 -1055715.0575000015))"
"POLYGON ((-743235.1517391299 -1055715.0575000015, -741759.0130434778 -1055715.0575000015, -741759.0130434778 -1057257.3287500015, -743235.1517391299 -1057257.3287500015, -743235.1517391299 -1055715.0575000015))"
"POLYGON ((-741759.0130434778 -1055715.0575000015, -740282.8743478258 -1055715.0575000015, -740282.8743478258 -1057257.3287500015, -741759.0130434778 -1057257.3287500015, -741759.0130434778 -1055715.0575000015))"
"POLYGON ((-752091.9839130423 -1054172.7862500015, -750615.8452173902 -1054172.7862500015, -750615.8452173902 -1055715.0575000015, -752091.9839130423 -1055715.0575000015, -752091.9839130423 -1054172.7862500015))"
"POLYGON ((-750615.8452173902 -1054172.7862500015, -749139.7065217382 -1054172.7862500015, -749139.7065217382 -1055715.0575000015, -750615.8452173902 -1055715.0575000015, -750615.8452173902 -1054172.7862500015))"
"POLYGON ((-749139.7065217382 -1054172.7862500015, -747663.5678260861 -1054172.7862500015, -747663.5678260861 -1055715.0575000015, -749139.7065217382 -1055715.0575000015, -749139.7065217382 -1054172.7862500015))"
"POLYGON ((-747663.5678260861 -1054172.7862500015, -746187.4291304341 -1054172.7862500015, -746187.4291304341 -1055715.0575000015, -747663.5678260861 -1055715.0575000015, -747663.5678260861 -1054172.7862500015))"
"POLYGON ((-746187.4291304341 -1054172.7862500015, -744711.2904347819 -1054172.7862500015, -744711.2904347819 -1055715.0575000015, -746187.4291304341 -1055715.0575000015, -746187.4291304341 -1054172.7862500015))"
"POLYGON ((-744711.2904347819 -1054172.7862500015, -743235.1517391299 -1054172.7862500015, -743235.1517391299 -1055715.0575000015, -744711.2904347819 -1055715.0575000015, -744711.2904347819 -1054172.7862500015))"
"POLYGON ((-743235.1517391299 -1054172.7862500015, -741759.0130434778 -1054172.7862500015, -741759.0130434778 -1055715.0575000015, -743235.1517391299 -1055715.0575000015, -743235.1517391299 -1054172.7862500015))"
"POLYGON ((-741759.0130434778 -1054172.7862500015, -740282.8743478258 -1054172.7862500015, -740282.8743478258 -1055715.0575000015, -741759.0130434778 -1055715.0575000015, -741759.0130434778 -1054172.7862500015))"
"POLYGON ((-740282.8743478258 -1054172.7862500015, -738806.7356521736 -1054172.7862500015, -738806.7356521736 -1055715.0575000015, -740282.8743478258 -1055715.0575000015, -740282.8743478258 -1054172.7862500015))"
"POLYGON ((-738806.7356521736 -1054172.7862500015, -737330.5969565216 -1054172.7862500015, -737330.5969565216 -1055715.0575000015, -738806.7356521736 -1055715.0575000015, -738806.7356521736 -1054172.7862500015))"
"POLYGON ((-731426.0421739133 -1054172.7862500015, -729949.9034782612 -1054172.7862500015, -729949.9034782612 -1055715.0575000015, -731426.0421739133 -1055715.0575000015, -731426.0421739133 -1054172.7862500015))"
"POLYGON ((-729949.9034782612 -1054172.7862500015, -728473.7647826092 -1054172.7862500015, -728473.7647826092 -1055715.0575000015, -729949.9034782612 -1055715.0575000015, -729949.9034782612 -1054172.7862500015))"
"POLYGON ((-728473.7647826092 -1054172.7862500015, -726997.626086957 -1054172.7862500015, -726997.626086957 -1055715.0575000015, -728473.7647826092 -1055715.0575000015, -728473.7647826092 -1054172.7862500015))"
"POLYGON ((-752091.9839130423 -1052630.5150000015, -750615.8452173902 -1052630.5150000015, -750615.8452173902 -1054172.7862500015, -752091.9839130423 -1054172.7862500015, -752091.9839130423 -1052630.5150000015))"
"POLYGON ((-750615.8452173902 -1052630.5150000015, -749139.7065217382 -1052630.5150000015, -749139.7065217382 -1054172.7862500015, -750615.8452173902 -1054172.7862500015, -750615.8452173902 -1052630.5150000015))"
"POLYGON ((-749139.7065217382 -1052630.5150000015, -747663.5678260861 -1052630.5150000015, -747663.5678260861 -1054172.7862500015, -749139.7065217382 -1054172.7862500015, -749139.7065217382 -1052630.5150000015))"
"POLYGON ((-747663.5678260861 -1052630.5150000015, -746187.4291304341 -1052630.5150000015, -746187.4291304341 -1054172.7862500015, -747663.5678260861 -1054172.7862500015, -747663.5678260861 -1052630.5150000015))"
"POLYGON ((-746187.4291304341 -1052630.5150000015, -744711.2904347819 -1052630.5150000015, -744711.2904347819 -1054172.7862500015, -746187.4291304341 -1054172.7862500015, -746187.4291304341 -1052630.5150000015))"
"POLYGON ((-744711.2904347819 -1052630.5150000015, -743235.1517391299 -1052630.5150000015, -743235.1517391299 -1054172.7862500015, -744711.2904347819 -1054172.7862500015, -744711.2904347819 -1052630.5150000015))"
"POLYGON ((-743235.1517391299 -1052630.5150000015, -741759.0130434778 -1052630.5150000015, -741759.0130434778 -1054172.7862500015, -743235.1517391299 -1054172.7862500015, -743235.1517391299 -1052630.5150000015))"
"POLYGON ((-741759.0130434778 -1052630.5150000015, -740282.8743478258 -1052630.5150000015, -740282.8743478258 -1054172.7862500015, -741759.0130434778 -1054172.7862500015, -741759.0130434778 -1052630.5150000015))"
"POLYGON ((-740282.8743478258 -1052630.5150000015, -738806.7356521736 -1052630.5150000015, -738806.7356521736 -1054172.7862500015, -740282.8743478258 -1054172.7862500015, -740282.8743478258 -1052630.5150000015))"
"POLYGON ((-738806.7356521736 -1052630.5150000015, -737330.5969565216 -1052630.5150000015, -737330.5969565216 -1054172.7862500015, -738806.7356521736 -1054172.7862500015, -738806.7356521736 -1052630.5150000015))"
"POLYGON ((-737330.5969565216 -1052630.5150000015, -735854.4582608695 -1052630.5150000015, -735854.4582608695 -1054172.7862500015, -737330.5969565216 -1054172.7862500015, -737330.5969565216 -1052630.5150000015))"
"POLYGON ((-735854.4582608695 -1052630.5150000015, -734378.3195652175 -1052630.5150000015, -734378.3195652175 -1054172.7862500015, -735854.4582608695 -1054172.7862500015, -735854.4582608695 -1052630.5150000015))"
"POLYGON ((-734378.3195652175 -1052630.5150000015, -732902.1808695653 -1052630.5150000015, -732902.1808695653 -1054172.7862500015, -734378.3195652175 -1054172.7862500015, -734378.3195652175 -1052630.5150000015))"
"POLYGON ((-732902.1808695653 -1052630.5150000015, -731426.0421739133 -1052630.5150000015, -731426.0421739133 -1054172.7862500015, -732902.1808695653 -1054172.7862500015, -732902.1808695653 -1052630.5150000015))"
"POLYGON ((-731426.0421739133 -1052630.5150000015, -729949.9034782612 -1052630.5150000015, -729949.9034782612 -1054172.7862500015, -731426.0421739133 -1054172.7862500015, -731426.0421739133 -1052630.5150000015))"
"POLYGON ((-729949.9034782612 -1052630.5150000015, -728473.7647826092 -1052630.5150000015, -728473.7647826092 -1054172.7862500015, -729949.9034782612 -1054172.7862500015, -729949.9034782612 -1052630.5150000015))"
"POLYGON ((-728473.7647826092 -1052630.5150000015, -726997.626086957 -1052630.5150000015, -726997.626086957 -1054172.7862500015, -728473.7647826092 -1054172.7862500015, -728473.7647826092 -1052630.5150000015))"
"POLYGON ((-726997.626086957 -1052630.5150000015, -725521.487391305 -1052630.5150000015, -725521.487391305 -1054172.7862500015, -726997.626086957 -1054172.7862500015, -726997.626086957 -1052630.5150000015))"
"POLYGON ((-753568.1226086944 -1051088.2437500015, -752091.9839130423 -1051088.2437500015, -752091.9839130423 -1052630.5150000015, -753568.1226086944 -1052630.5150000015, -753568.1226086944 -1051088.2437500015))"
"POLYGON ((-752091.9839130423 -1051088.2437500015, -750615.8452173902 -1051088.2437500015, -750615.8452173902 -1052630.5150000015, -752091.9839130423 -1052630.5150000015, -752091.9839130423 -1051088.2437500015))"
"POLYGON ((-750615.8452173902 -1051088.2437500015, -749139.7065217382 -1051088.2437500015, -749139.7065217382 -1052630.5150000015, -750615.8452173902 -1052630.5150000015, -750615.8452173902 -1051088.2437500015))"
"POLYGON ((-749139.7065217382 -1051088.2437500015, -747663.5678260861 -1051088.2437500015, -747663.5678260861 -1052630.5150000015, -749139.7065217382 -1052630.5150000015, -749139.7065217382 -1051088.2437500015))"
"POLYGON ((-747663.5678260861 -1051088.2437500015, -746187.4291304341 -1051088.2437500015, -746187.4291304341 -1052630.5150000015, -747663.5678260861 -1052630.5150000015, -747663.5678260861 -1051088.2437500015))"
"POLYGON ((-746187.4291304341 -1051088.2437500015, -744711.2904347819 -1051088.2437500015, -744711.2904347819 -1052630.5150000015, -746187.4291304341 -1052630.5150000015, -746187.4291304341 -1051088.2437500015))"
"POLYGON ((-744711.2904347819 -1051088.2437500015, -743235.1517391299 -1051088.2437500015, -743235.1517391299 -1052630.5150000015, -744711.2904347819 -1052630.5150000015, -744711.2904347819 -1051088.2437500015))"
"POLYGON ((-743235.1517391299 -1051088.2437500015, -741759.0130434778 -1051088.2437500015, -741759.0130434778 -1052630.5150000015, -743235.1517391299 -1052630.5150000015, -743235.1517391299 -1051088.2437500015))"
"POLYGON ((-741759.0130434778 -1051088.2437500015, -740282.8743478258 -1051088.2437500015, -740282.8743478258 -1052630.5150000015, -741759.0130434778 -1052630.5150000015, -741759.0130434778 -1051088.2437500015))"
"POLYGON ((-740282.8743478258 -1051088.2437500015, -738806.7356521736 -1051088.2437500015, -738806.7356521736 -1052630.5150000015, -740282.8743478258 -1052630.5150000015, -740282.8743478258 -1051088.2437500015))"
"POLYGON ((-738806.7356521736 -1051088.2437500015, -737330.5969565216 -1051088.2437500015, -737330.5969565216 -1052630.5150000015, -738806.7356521736 -1052630.5150000015, -738806.7356521736 -1051088.2437500015))"
"POLYGON ((-737330.5969565216 -1051088.2437500015, -735854.4582608695 -1051088.2437500015, -735854.4582608695 -1052630.5150000015, -737330.5969565216 -1052630.5150000015, -737330.5969565216 -1051088.2437500015))"
"POLYGON ((-735854.4582608695 -1051088.2437500015, -734378.3195652175 -1051088.2437500015, -734378.3195652175 -1052630.5150000015, -735854.4582608695 -1052630.5150000015, -735854.4582608695 -1051088.2437500015))"
"POLYGON ((-734378.3195652175 -1051088.2437500015, -732902.1808695653 -1051088.2437500015, -732902.1808695653 -1052630.5150000015, -734378.3195652175 -1052630.5150000015, -734378.3195652175 -1051088.2437500015))"
"POLYGON ((-732902.1808695653 -1051088.2437500015, -731426.0421739133 -1051088.2437500015, -731426.0421739133 -1052630.5150000015, -732902.1808695653 -1052630.5150000015, -732902.1808695653 -1051088.2437500015))"
"POLYGON ((-731426.0421739133 -1051088.2437500015, -729949.9034782612 -1051088.2437500015, -729949.9034782612 -1052630.5150000015, -731426.0421739133 -1052630.5150000015, -731426.0421739133 -1051088.2437500015))"
"POLYGON ((-729949.9034782612 -1051088.2437500015, -728473.7647826092 -1051088.2437500015, -728473.7647826092 -1052630.5150000015, -729949.9034782612 -1052630.5150000015, -729949.9034782612 -1051088.2437500015))"
"POLYGON ((-728473.7647826092 -1051088.2437500015, -726997.626086957 -1051088.2437500015, -726997.626086957 -1052630.5150000015, -728473.7647826092 -1052630.5150000015, -728473.7647826092 -1051088.2437500015))"
"POLYGON ((-726997.626086957 -1051088.2437500015, -725521.487391305 -1051088.2437500015, -725521.487391305 -1052630.5150000015, -726997.626086957 -1052630.5150000015, -726997.626086957 -1051088.2437500015))"
"POLYGON ((-753568.1226086944 -1049545.9725000015, -752091.9839130423 -1049545.9725000015, -752091.9839130423 -1051088.2437500015, -753568.1226086944 -1051088.2437500015, -753568.1226086944 -1049545.9725000015))"
"POLYGON ((-752091.9839130423 -1049545.9725000015, -750615.8452173902 -1049545.9725000015, -750615.8452173902 -1051088.2437500015, -752091.9839130423 -1051088.2437500015, -752091.9839130423 -1049545.9725000015))"
"POLYGON ((-750615.8452173902 -1049545.9725000015, -749139.7065217382 -1049545.9725000015, -749139.7065217382 -1051088.2437500015, -750615.8452173902 -1051088.2437500015, -750615.8452173902 -1049545.9725000015))"
"POLYGON ((-749139.7065217382 -1049545.9725000015, -747663.5678260861 -1049545.9725000015, -747663.5678260861 -1051088.2437500015, -749139.7065217382 -1051088.2437500015, -749139.7065217382 -1049545.9725000015))"
"POLYGON ((-747663.5678260861 -1049545.9725000015, -746187.4291304341 -1049545.9725000015, -746187.4291304341 -1051088.2437500015, -747663.5678260861 -1051088.2437500015, -747663.5678260861 -1049545.9725000015))"
"POLYGON ((-746187.4291304341 -1049545.9725000015, -744711.2904347819 -1049545.9725000015, -744711.2904347819 -1051088.2437500015, -746187.4291304341 -1051088.2437500015, -746187.4291304341 -1049545.9725000015))"
"POLYGON ((-744711.2904347819 -1049545.9725000015, -743235.1517391299 -1049545.9725000015, -743235.1517391299 -1051088.2437500015, -744711.2904347819 -1051088.2437500015, -744711.2904347819 -1049545.9725000015))"
"POLYGON ((-743235.1517391299 -1049545.9725000015, -741759.0130434778 -1049545.9725000015, -741759.0130434778 -1051088.2437500015, -743235.1517391299 -1051088.2437500015, -743235.1517391299 -1049545.9725000015))"
"POLYGON ((-741759.0130434778 -1049545.9725000015, -740282.8743478258 -1049545.9725000015, -740282.8743478258 -1051088.2437500015, -741759.0130434778 -1051088.2437500015, -741759.0130434778 -1049545.9725000015))"
